,rating,nr_rating,nr_oscars,title,rating_penalty,oscars_reward,adjusted_rating
0,9.2,2697241,0,A remény rabjai,0.0,0.0,9.2
1,9.2,1871686,3,A keresztapa,0.9,0.5,8.799999999999999
2,9.0,2670942,2,A sötét lovag,0.1,0.3,9.200000000000001
3,9.0,1279326,6,A keresztapa II,1.5,1.0,8.5
4,9.0,796496,0,Tizenkét dühös ember,2.0,0.0,7.0
5,8.9,1363651,7,Schindler listája,1.4,1.0,8.5
6,8.9,1857624,11,A Gyűrűk Ura: A király visszatér,0.9,1.5,9.5
7,8.8,2070279,0,Ponyvaregény,0.7,0.0,8.100000000000001
8,8.8,1886985,4,A Gyűrűk Ura: A gyűrű szövetsége,0.9,0.5,8.4
9,8.8,766378,0,"A Jó, a Rossz és a Csúf",2.0,0.0,6.800000000000001
10,8.8,2094735,6,Forrest Gump,0.7,1.0,9.100000000000001
11,8.7,2142176,0,Harcosok klubja,0.6,0.0,8.1
12,8.7,1677317,2,A Gyűrűk Ura: A két torony,1.1,0.3,7.8999999999999995
13,8.7,2369511,4,Eredet,0.4,0.5,8.799999999999999
14,8.7,1300320,0,A Birodalom visszavág,1.4,0.0,7.299999999999999
15,8.7,1924946,4,Mátrix,0.8,0.5,8.399999999999999
16,8.7,1169890,0,Nagymenők,1.6,0.0,7.1
17,8.6,1013328,5,Száll a kakukk fészkére,1.7,0.5,7.3999999999999995
18,8.6,1664958,0,Hetedik,1.1,0.0,7.5
19,8.6,348241,0,A hét szamuráj,2.4,0.0,6.199999999999999
